TimeStep,SolarPower,GridPower,GridCost,ElectricityPrice,BatterySOC,BatteryChargerPowerNew,evSOC,IndoorTemperature,OutdoorTemperature,WaterTemperature,HVACPowerNew,WaterHeaterPowerNew,EVChargerPowerNew,DishwasherActive,WashMachineActive,ClothesDryerActive,TVActive,RefrigeratorActive,LightsActive,VacuumActive,HairDryerActive
0,1.69,0.91,0.036,0.04,10.00,2.4,0.0,20.1,12.6,59.1,0,0,0,0,0,0,0,1,0,0,0
1,1.69,5.41,0.216,0.04,18.91,2.4,0.0,19.9,12.6,55.6,0,4.5,0,0,0,0,0,1,0,0,0
2,1.69,5.41,0.216,0.04,27.81,2.4,0.0,19.6,12.6,56.9,0,4.5,0,0,0,0,0,1,0,0,0
3,1.69,0.91,0.036,0.04,36.72,2.4,0.0,19.4,12.6,58.2,0,0,0,0,0,0,0,1,0,0,0
4,2.69,4.41,0.132,0.03,45.63,2.4,0.0,19.2,13.7,54.8,0,4.5,0,0,0,0,0,1,0,0,0
5,2.69,4.41,0.132,0.03,54.53,2.4,0.0,19.0,13.7,56.2,0,4.5,0,0,0,0,0,1,0,0,0
6,2.69,-0.09,-0.002,0.03,63.44,2.4,0.0,18.8,13.7,57.5,0,0,0,0,0,0,0,1,0,0,0
7,2.69,4.41,0.132,0.03,72.34,2.4,0.0,18.7,13.7,54.1,0,4.5,0,0,0,0,0,1,0,0,0
8,3.02,4.08,0.122,0.03,81.25,2.4,0.0,18.5,15.9,55.6,0,4.5,0,0,0,0,0,1,0,0,0
9,3.02,4.08,0.122,0.03,90.16,2.4,0.0,18.4,15.9,57.0,0,4.5,0,0,0,0,0,1,0,0,0
10,3.02,-2.17,-0.059,0.03,99.06,0.3,0.0,18.4,15.9,58.2,0,0,0,0,1,0,0,1,0,0,0
11,3.02,2.08,0.062,0.03,100.00,0.0,0.0,18.3,15.9,54.8,0,4.5,0,0,1,0,0,1,0,0,0
12,2.85,2.25,0.068,0.03,100.00,0.0,0.0,18.2,18,56.2,0,4.5,0,0,1,0,0,1,0,0,0
13,2.85,-2.25,-0.061,0.03,100.00,0.0,0.0,18.2,18,57.5,0,0,0,0,1,0,0,1,0,0,0
14,2.85,2.25,0.068,0.03,100.00,0.0,0.0,18.2,18,54.1,0,4.5,0,0,1,0,0,1,0,0,0
15,2.85,2.25,0.068,0.03,100.00,0.0,0.0,18.2,18,55.6,0,4.5,0,0,1,0,0,1,0,0,0
16,2.66,2.04,0.061,0.03,100.00,0.0,0.0,18.2,19.3,57.0,0,4.5,0,0,0,0,0,1,0,0,0
17,2.66,-1.26,-0.034,0.03,100.00,0.0,0.0,18.2,19.3,58.2,0,0,0,0,0,1,0,1,0,0,0
18,2.66,3.24,0.097,0.03,100.00,0.0,0.0,18.2,19.3,54.8,0,4.5,0,0,0,1,0,1,0,0,0
19,2.66,3.24,0.097,0.03,100.00,0.0,0.0,18.3,19.3,56.2,0,4.5,0,0,0,1,0,1,0,0,0
20,3,-1.60,-0.043,0.03,100.00,0.0,0.0,18.3,20.6,57.5,0,0,0,0,0,1,0,1,0,0,0
21,3,2.90,0.087,0.03,100.00,0.0,0.0,18.4,20.6,54.1,0,4.5,0,0,0,1,0,1,0,0,0
22,3,1.70,0.051,0.03,100.00,0.0,0.0,18.5,20.6,55.6,0,4.5,0,0,0,0,0,1,0,0,0
23,3,1.70,0.051,0.03,100.00,0.0,0.0,18.5,20.6,57.0,0,4.5,0,0,0,0,0,1,0,0,0
24,2.14,-1.94,-0.070,0.04,100.00,0.0,0.0,18.6,21.4,58.2,0,0,0,0,0,0,0,1,0,0,0
